Time,Current (mA),Voltage (V),Power (W),Energy (kWh),Cost (BDT),Duration (min)
2025-08-01 16:20:47.381755,467.0,231.2,60.9,2.0645945833333333e-06,1.23875675e-05,0
2025-08-01 16:23:25.987737,503.0,233.0,65.6,1.175570222222222e-06,7.053421333333332e-06,0
2025-08-01 16:24:26.775931,503.0,233.0,65.6,0.0011090151591111,0.0066540909546666,1
2025-08-01 16:25:26.814358,503.0,233.0,65.6,0.0022031021817777,0.0132186130906666,2
2025-08-01 16:26:26.821683,503.0,233.0,65.6,0.0032967224057777,0.0197803344346666,3
2025-08-01 16:27:26.816090,503.0,233.0,65.6,0.0043899642817777,0.0263397856906666,4
2025-08-01 16:28:26.825009,503.0,233.0,65.6,0.0054832013471111,0.0328992080826666,5
2025-08-01 16:29:26.826244,503.0,233.0,65.6,0.0065763956995555,0.0394583741973333,6
2025-08-01 16:30:56.830873,506.0,233.9,65.1,0.0082040663519722,0.0492243981118333,7
2025-08-01 16:36:16.825787,506.0,233.9,65.1,0.0054404584651666,0.0326427507909999,5
2025-08-01 16:43:05.830588,602.0,233.9,81.2,0.0067942724787777,0.0407656348726666,5
2025-08-01 16:49:22.845339,602.0,233.9,81.2,0.0068211448744444,0.0409268692466666,5
2025-08-01 16:56:27.859735,602.0,233.9,81.2,0.006803346466,0.040820078796,5
2025-08-01 17:05:59.933168,602.0,233.9,81.2,1.7844602222222226e-06,1.0706761333333335e-05,0
2025-08-01 17:11:00.471569,653.0,233.0,87.7,0.0073071508061666,0.0438429048369999,5
2025-08-01 17:16:00.495814,0.0,233.4,0.0,0.0073071508061666,0.0438429048369999,10
2025-08-01 17:22:01.387066,0.0,233.4,0.0,0.0,0.0,0
2025-08-01 17:23:01.928663,0.0,234.3,0.0,0.0,0.0,1
2025-08-01 17:24:01.929056,0.0,233.9,0.0,0.0,0.0,2
2025-08-01 17:25:01.932582,436.0,234.3,58.1,0.0009684263578888,0.0058105581473333,3
2025-08-01 17:27:02.807579,400.0,234.3,52.3,0.0028214202885833,0.0169285217315,5
2025-08-01 17:29:02.896167,400.0,234.3,52.3,0.00456592427025,0.0273955456215,7
2025-08-01 17:30:03.819827,400.0,234.3,52.3,0.0054508653451944,0.0327051920711666,8
2025-08-01 17:31:04.811658,400.0,234.3,52.3,0.0063368805168611,0.0380212831011666,9
2025-08-01 17:32:05.799412,400.0,234.3,52.3,0.0072234617052777,0.0433407702316666,10
2025-08-01 17:33:06.811625,400.0,234.3,52.3,0.0081097451614166,0.0486584709685,11
2025-08-01 17:34:07.804503,400.0,234.3,52.3,0.0089961254887777,0.0539767529326666,12
2025-08-01 17:35:08.834448,400.0,234.3,52.3,0.0098819682157222,0.0592918092943333,13
2025-08-01 17:37:03.816590,400.0,234.3,52.3,0.0115525307334166,0.0693151844005,15
2025-08-01 17:38:04.805167,400.0,234.3,52.3,0.0124384583316388,0.0746307499898333,16
